0.000000000000000000e+00,1.299918053816825569e+01
1.001001001001000992e-03,1.299747285791969986e+01
2.002002002002001985e-03,1.299572748142192857e+01
3.003003003003002977e-03,1.299396029340235259e+01
4.004004004004003969e-03,1.299234854846990039e+01
5.005005005005004962e-03,1.299051961454282988e+01
6.006006006006005954e-03,1.298877317373538531e+01
7.007007007007006946e-03,1.298701547105813603e+01
8.008008008008007939e-03,1.298523611384918119e+01
9.009009009009008931e-03,1.298362676473968769e+01
1.001001001001000992e-02,1.298183587856821930e+01
1.101101101101101092e-02,1.298009796035525021e+01
1.201201201201201191e-02,1.297833074192018543e+01
1.301301301301301290e-02,1.297656894269084482e+01
1.401401401401401389e-02,1.297479141398255642e+01
1.501501501501501488e-02,1.297319386121245977e+01
1.601601601601601588e-02,1.297140410155042645e+01
1.701701701701701513e-02,1.296966487527094003e+01
1.801801801801801786e-02,1.296792556820117426e+01
1.901901901901902059e-02,1.296618636151193726e+01
2.002002002002001985e-02,1.296444764193697097e+01
2.102102102102101910e-02,1.296280427856743245e+01
2.202202202202202183e-02,1.296101175636101743e+01
2.302302302302302456e-02,1.295922307609422397e+01
2.402402402402402382e-02,1.295748180386648585e+01
2.502502502502502307e-02,1.295574026181341942e+01
2.602602602602602580e-02,1.295399850257008190e+01
2.702702702702702853e-02,1.295225663464539068e+01
2.802802802802802778e-02,1.295051486444887168e+01
2.902902902902902704e-02,1.294877356662552081e+01
3.003003003003002977e-02,1.294703339972345724e+01
3.103103103103103250e-02,1.294529549332560592e+01
3.203203203203203175e-02,1.294356174619921518e+01
3.303303303303303101e-02,1.294179274682751846e+01
3.403403403403403027e-02,1.294004753033687827e+01
3.503503503503503647e-02,1.293830196637627417e+01
3.603603603603603572e-02,1.293655613636411061e+01
3.703703703703703498e-02,1.293481018351710077e+01
3.803803803803804118e-02,1.293306434940824623e+01
3.903903903903904044e-02,1.293131903027214058e+01
4.004004004004003969e-02,1.292957486277253487e+01
4.104104104104103895e-02,1.292783285328661691e+01
4.204204204204203821e-02,1.292609457085595182e+01
4.304304304304304440e-02,1.292436243245120053e+01
4.404404404404404366e-02,1.292264012096326731e+01
4.504504504504504292e-02,1.292081380805315760e+01
4.604604604604604912e-02,1.291906234972919876e+01
4.704704704704704837e-02,1.291731064462349643e+01
4.804804804804804763e-02,1.291555890590765365e+01
4.904904904904904689e-02,1.291380746438999871e+01
5.005005005005004615e-02,1.291205682492795148e+01
5.105105105105105234e-02,1.291030774788949742e+01
5.205205205205205160e-02,1.290856136594232062e+01
5.305305305305305086e-02,1.290681935034066363e+01
5.405405405405405705e-02,1.290508414613328902e+01
5.505505505505505631e-02,1.290318551200262576e+01
5.605605605605605557e-02,1.290147682788637340e+01
5.705705705705705483e-02,1.289973659478498824e+01
5.805805805805805409e-02,1.289798415824419919e+01
5.905905905905906028e-02,1.289622482161784944e+01
6.006006006006005954e-02,1.289446586569665243e+01
6.106106106106105880e-02,1.289270784432813244e+01
6.206206206206206499e-02,1.289095155821716432e+01
6.306306306306305731e-02,1.288919815533760449e+01
6.406406406406406351e-02,1.288744926955643244e+01
6.506506506506506970e-02,1.288570721106571959e+01
6.606606606606606202e-02,1.288380902084804802e+01
6.706706706706706822e-02,1.288208843566852657e+01
6.806806806806806054e-02,1.288031659120374783e+01
6.906906906906906674e-02,1.287854250001618617e+01
7.007007007007007293e-02,1.287676530646593953e+01
7.107107107107106525e-02,1.287498361932732038e+01
7.207207207207207145e-02,1.287325231761671773e+01
7.307307307307307764e-02,1.287148678514972566e+01
7.407407407407406996e-02,1.286972422447821351e+01
7.507507507507507616e-02,1.286796622684726898e+01
7.607607607607608236e-02,1.286605544084963526e+01
7.707707707707707467e-02,1.286431461503725515e+01
7.807807807807808087e-02,1.286256064166811441e+01
7.907907907907907319e-02,1.286077697193393021e+01
8.008008008008007939e-02,1.285899093257872750e+01
8.108108108108108558e-02,1.285720176760579037e+01
8.208208208208207790e-02,1.285540828599180507e+01
8.308308308308308410e-02,1.285360861652961439e+01
8.408408408408407642e-02,1.285179983034208107e+01
8.508508508508508261e-02,1.285012073098175023e+01
8.608608608608608881e-02,1.284835218818616376e+01
8.708708708708708113e-02,1.284643808467947679e+01
8.808808808808808732e-02,1.284468697497104550e+01
8.908908908908909352e-02,1.284289390452037338e+01
9.009009009009008584e-02,1.284109635160978158e+01
9.109109109109109204e-02,1.283929621537237864e+01
9.209209209209209823e-02,1.283749276970266173e+01
9.309309309309309055e-02,1.283568489768856402e+01
9.409409409409409675e-02,1.283387088447588376e+01
9.509509509509508907e-02,1.283204810458033052e+01
9.609609609609609526e-02,1.283035945829606383e+01
9.709709709709710146e-02,1.282850441781015682e+01
9.809809809809809378e-02,1.282668734205970829e+01
9.909909909909909997e-02,1.282487738522066145e+01
1.001001001001000923e-01,1.282306611564854038e+01
1.011011011011010985e-01,1.282125242637985529e+01
1.021021021021021047e-01,1.281943580519698500e+01
1.031031031031030970e-01,1.281761547835870907e+01
1.041041041041041032e-01,1.281579027721720365e+01
1.051051051051051094e-01,1.281395843921577793e+01
1.061061061061061017e-01,1.281211731217894823e+01
1.071071071071071079e-01,1.281040322626139094e+01
1.081081081081081141e-01,1.280853642133535431e+01
1.091091091091091064e-01,1.280671192453767482e+01
1.101101101101101126e-01,1.280488521864675633e+01
1.111111111111111049e-01,1.280305576772734533e+01
1.121121121121121111e-01,1.280122162767809613e+01
1.131131131131131173e-01,1.279938578157112161e+01
1.141141141141141097e-01,1.279754552043889859e+01
1.151151151151151159e-01,1.279569946730116747e+01
1.161161161161161082e-01,1.279384557426395475e+01
1.171171171171171144e-01,1.279211532679518903e+01
1.181181181181181206e-01,1.279023459477688540e+01
1.191191191191191129e-01,1.278837717952320752e+01
1.201201201201201191e-01,1.278653300915828872e+01
1.211211211211211253e-01,1.278468627617908382e+01
1.221221221221221176e-01,1.278283633107955097e+01
1.231231231231231238e-01,1.278098195052871766e+01
1.241241241241241300e-01,1.277912082716571618e+01
1.251251251251251362e-01,1.277725600072591128e+01
1.261261261261261146e-01,1.277538437817459460e+01
1.271271271271271208e-01,1.277363147517919728e+01
1.281281281281281270e-01,1.277173492875200012e+01
1.291291291291291332e-01,1.276985533757722102e+01
1.301301301301301394e-01,1.276799150314243825e+01
